Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
16;M;2008;Ernest;16
7;F;2008;Éva;7
9;M;2008;Ewan;9
8;M;2008;Felix;8
14;F;2008;Hana;14
5;M;2008;Hédi;5
10;M;2008;Henry;10
13;M;2008;Ilyan;13
18;F;2008;Imane;18
19;F;2008;Irène;19
18;M;2008;Jacques;18
12;M;2008;Jad;12
8;M;2008;Jeremy;8
22;F;2008;Jessica;22
34;M;2008;Jonathan;34
164;F;2008;Juliette;164
16;M;2008;Léandre;16
27;F;2008;Léonie;27
15;M;2008;Lilian;15
10;F;2008;Lison;10
15;F;2008;Louison;23
5;M;2008;Mahdi;5
129;F;2008;Manon;129
13;F;2008;Mariame;13
135;F;2008;Marie;135
13;M;2008;Marley;13
7;F;2008;Marthe;7
21;M;2008;Matteo;21
8;F;2008;Maureen;8
27;F;2008;Mélina;27
13;M;2008;Mohamed-Amine;13
22;M;2008;Mohammed;22
23;M;2008;Nathanaël;23
13;F;2008;Ornella;13
5;M;2008;Othman;5
12;M;2008;Owen;12
5;F;2008;Patricia;5
242;M;2008;Paul;242
27;F;2008;Pénélope;27
23;M;2008;Rémi;23
8;M;2008;Ryad;8
12;F;2008;Sonia;12
5;F;2008;Soumaya;5
17;M;2008;Swann;17
6;F;2008;Tamara;6
15;M;2008;Téo;15
9;M;2008;Térence;9
36;M;2008;Thibault;36
17;M;2008;Tony;17
40;M;2008;Ulysse;40
46;M;2008;Yacine;46
5;F;2008;Yuna;5
11;M;2009;Abdallah;11
11;F;2009;Abigaël;11
6;M;2009;Allan;6
8;F;2009;Amélia;8
14;F;2009;Amina;14
33;M;2009;Anton;33
258;M;2009;Arthur;258
20;F;2009;Axelle;20
5;F;2009;Carolina;5
8;F;2009;Cécilia;8
49;F;2009;Constance;49
37;M;2009;Edouard;37
6;F;2009;Eileen;6
76;F;2009;Elisa;76
12;F;2009;Élisa;12
38;M;2009;Emile;38
72;F;2009;Emilie;72
24;F;2009;Fanta;24
18;F;2009;Fatou;18
9;F;2009;Félicité;9
5;M;2009;Filip;5
350;M;2009;Gabriel;350
5;M;2009;Gaspar;5
35;M;2009;Grégoire;35
11;F;2009;Hana;11
46;M;2009;Ibrahim;46
27;M;2009;Issa;27
149;F;2009;Jade;149
73;M;2009;Jean;73
5;M;2009;Joakim;5
5;F;2009;Khadidiatou;5
21;M;2009;Lino;21
29;M;2009;Lorenzo;29
9;F;2009;Loubna;9
6;M;2009;Lubin;6
33;F;2009;Lucile;33
9;F;2009;Maé;14
6;F;2009;Maëly;6
5;M;2009;Malick;5
5;F;2009;Marylou;5
89;M;2009;Mathis;89
63;F;2009;Maya;63
6;M;2009;Muhammad;6
9;F;2009;Mya;9
30;F;2009;Naomi;30
12;F;2009;Naomie;12
17;F;2009;Paola;17
273;M;2009;Paul;273
15;M;2009;Rafaël;15
7;F;2009;Rokia;7
125;F;2009;Rose;125
11;M;2009;Sébastien;11
6;F;2009;Shayna;6
5;M;2009;Skander;5
37;M;2009;Solal;37
25;F;2009;Solène;25
5;F;2009;Téa;5
86;M;2009;Théo;86
6;F;2009;Thérèse;6
84;M;2009;Valentin;84
5;M;2009;Yazid;5
11;F;2009;Ysée;11
6;F;2010;Aïssata;6
5;M;2010;Alain;5
5;F;2010;Alia;5
40;M;2010;Amaury;40
88;M;2010;Amine;88
6;F;2010;Anaelle;6
122;F;2010;Anaïs;122
31;M;2010;Anatole;31
5;F;2010;Anne-Laure;5
8;M;2010;Antony;8
7;F;2010;Aurélia;7
6;M;2010;Aziz;6
71;M;2010;Basile;71
13;F;2010;Cécile;13
6;F;2010;Coralie;6
6;F;2010;Emmie;6
12;F;2010;Ethel;12
5;M;2010;Franck;5
398;M;2010;Gabriel;398
6;F;2010;Gaïa;6
5;M;2010;George;5
34;M;2010;Hadrien;34
7;M;2010;Hedi;7
21;F;2010;Hélène;21
81;F;2010;Héloïse;81
5;M;2010;Hicham;5
208;F;2010;Inès;208
16;M;2010;Ismael;16
8;M;2010;Israël;8
8;F;2010;Izia;8
11;M;2010;Jordan;11
38;M;2010;Joshua;38
26;F;2010;Kenza;26
27;M;2010;Kevin;27
11;F;2010;Kiara;11
5;F;2010;Leïna;5
11;F;2010;Lily-Rose;11
6;F;2010;Lindsay;6
30;F;2010;Maïa;30
7;F;2010;Maÿlis;7
25;F;2010;Melissa;25
35;M;2010;Milo;35
11;F;2010;Nine;11
19;M;2010;Noham;19
11;F;2010;Olympe;11
16;M;2010;Philippe;16
7;F;2010;Sandra;7
246;F;2010;Sarah;246
12;M;2010;Soren;12
17;M;2010;Souleymane;17
5;F;2010;Suzie;5
32;M;2010;Timothé;32
9;F;2011;Aïda;9
15;F;2011;Aïssata;15
